date,coronavirus,Country
2019-12-31,0,Australia
2020-01-01,0,Australia
2020-01-02,0,Australia
2020-01-03,0,Australia
2020-01-04,0,Australia
2020-01-05,0,Australia
2020-01-06,0,Australia
2020-01-07,0,Australia
2020-01-08,0,Australia
2020-01-09,0,Australia
2020-01-10,0,Australia
2020-01-11,0,Australia
2020-01-12,0,Australia
2020-01-13,0,Australia
2020-01-14,0,Australia
2020-01-15,0,Australia
2020-01-16,0,Australia
2020-01-17,0,Australia
2020-01-18,0,Australia
2020-01-19,0,Australia
2020-01-20,1,Australia
2020-01-21,4,Australia
2020-01-22,3,Australia
2020-01-23,4,Australia
2020-01-24,6,Australia
2020-01-25,20,Australia
2020-01-26,17,Australia
2020-01-27,19,Australia
2020-01-28,21,Australia
2020-01-29,20,Australia
2020-01-30,20,Australia
2020-01-31,19,Australia
2020-02-01,16,Australia
2020-02-02,14,Australia
2020-02-03,12,Australia
2020-02-04,11,Australia
2020-02-05,11,Australia
2020-02-06,11,Australia
2020-02-07,12,Australia
2020-02-08,11,Australia
2020-02-09,9,Australia
2020-02-10,10,Australia
2020-02-11,9,Australia
2020-02-12,8,Australia
2020-02-13,10,Australia
2020-02-14,8,Australia
2020-02-15,7,Australia
2020-02-16,7,Australia
2020-02-17,6,Australia
2020-02-18,6,Australia
2020-02-19,5,Australia
2020-02-20,5,Australia
2020-02-21,6,Australia
2020-02-22,6,Australia
2020-02-23,8,Australia
2020-02-24,11,Australia
2020-02-25,12,Australia
2020-02-26,15,Australia
2020-02-27,16,Australia
2020-02-28,17,Australia
2020-02-29,17,Australia
2020-03-01,19,Australia
2020-03-02,23,Australia
2020-03-03,26,Australia
2020-03-04,29,Australia
2020-03-05,28,Australia
2020-03-06,25,Australia
2020-03-07,25,Australia
2020-03-08,28,Australia
2020-03-09,30,Australia
2020-03-10,36,Australia
2020-03-11,38,Australia
2020-03-12,63,Australia
2020-03-13,73,Australia
2020-03-14,68,Australia
2020-03-15,79,Australia
2020-03-16,81,Australia
2020-03-17,80,Australia
2020-03-18,71,Australia
2020-03-19,65,Australia
2020-03-20,66,Australia
2020-03-21,74,Australia
2020-03-22,100,Australia
2020-03-23,83,Australia
2020-03-24,81,Australia
2020-03-25,79,Australia
2020-03-26,70,Australia
2020-03-27,72,Australia
2020-03-28,75,Australia
2020-03-29,78,Australia
2020-03-30,60,Australia
2020-03-31,55,Australia
2020-04-01,51,Australia
2020-04-02,48,Australia
2020-04-03,61,Australia
2020-04-04,64,Australia
2020-04-05,63,Australia
2020-04-06,60,Australia
2020-04-07,58,Australia
2020-04-08,54,Australia
2020-04-09,51,Australia
2020-04-10,51,Australia
2020-04-11,38,Australia
2020-04-12,43,Australia
2020-04-13,55,Australia
2020-04-14,47,Australia
2020-04-15,46,Australia
2020-04-16,45,Australia
2020-04-17,41,Australia
2020-04-18,32,Australia
2019-12-31,0,Canada
2020-01-01,0,Canada
2020-01-02,0,Canada
2020-01-03,0,Canada
2020-01-04,0,Canada
2020-01-05,0,Canada
2020-01-06,0,Canada
2020-01-07,0,Canada
2020-01-08,0,Canada
2020-01-09,0,Canada
2020-01-10,0,Canada
2020-01-11,0,Canada
2020-01-12,0,Canada
2020-01-13,0,Canada
2020-01-14,0,Canada
2020-01-15,0,Canada
2020-01-16,0,Canada
2020-01-17,0,Canada
2020-01-18,0,Canada
2020-01-19,0,Canada
2020-01-20,1,Canada
2020-01-21,3,Canada
2020-01-22,5,Canada
2020-01-23,7,Canada
2020-01-24,10,Canada
2020-01-25,15,Canada
2020-01-26,22,Canada
2020-01-27,21,Canada
2020-01-28,25,Canada
2020-01-29,22,Canada
2020-01-30,22,Canada
2020-01-31,19,Canada
2020-02-01,13,Canada
2020-02-02,11,Canada
2020-02-03,10,Canada
2020-02-04,10,Canada
2020-02-05,10,Canada
2020-02-06,10,Canada
2020-02-07,11,Canada
2020-02-08,10,Canada
2020-02-09,9,Canada
2020-02-10,9,Canada
2020-02-11,8,Canada
2020-02-12,7,Canada
2020-02-13,8,Canada
2020-02-14,6,Canada
2020-02-15,6,Canada
2020-02-16,6,Canada
2020-02-17,5,Canada
2020-02-18,5,Canada
2020-02-19,5,Canada
2020-02-20,5,Canada
2020-02-21,5,Canada
2020-02-22,6,Canada
2020-02-23,7,Canada
2020-02-24,11,Canada
2020-02-25,13,Canada
2020-02-26,15,Canada
2020-02-27,16,Canada
2020-02-28,18,Canada
2020-02-29,18,Canada
2020-03-01,17,Canada
2020-03-02,20,Canada
2020-03-03,19,Canada
2020-03-04,19,Canada
2020-03-05,23,Canada
2020-03-06,27,Canada
2020-03-07,26,Canada
2020-03-08,26,Canada
2020-03-09,31,Canada
2020-03-10,35,Canada
2020-03-11,48,Canada
2020-03-12,100,Canada
2020-03-13,99,Canada
2020-03-14,78,Canada
2020-03-15,81,Canada
2020-03-16,86,Canada
2020-03-17,80,Canada
2020-03-18,79,Canada
2020-03-19,74,Canada
2020-03-20,68,Canada
2020-03-21,69,Canada
2020-03-22,71,Canada
2020-03-23,65,Canada
2020-03-24,59,Canada
2020-03-25,60,Canada
2020-03-26,57,Canada
2020-03-27,57,Canada
2020-03-28,56,Canada
2020-03-29,55,Canada
2020-03-30,47,Canada
2020-03-31,45,Canada
2020-04-01,45,Canada
2020-04-02,43,Canada
2020-04-03,47,Canada
2020-04-04,59,Canada
2020-04-05,58,Canada
2020-04-06,47,Canada
2020-04-07,55,Canada
2020-04-08,50,Canada
2020-04-09,46,Canada
2020-04-10,48,Canada
2020-04-11,35,Canada
2020-04-12,31,Canada
2020-04-13,42,Canada
2020-04-14,44,Canada
2020-04-15,42,Canada
2020-04-16,39,Canada
2020-04-17,39,Canada
2020-04-18,42,Canada
2019-12-31,0,Ireland
2020-01-01,0,Ireland
2020-01-02,0,Ireland
2020-01-03,0,Ireland
2020-01-04,0,Ireland
2020-01-05,0,Ireland
2020-01-06,0,Ireland
2020-01-07,0,Ireland
2020-01-08,0,Ireland
2020-01-09,0,Ireland
2020-01-10,0,Ireland
2020-01-11,0,Ireland
2020-01-12,0,Ireland
2020-01-13,0,Ireland
2020-01-14,0,Ireland
2020-01-15,0,Ireland
2020-01-16,0,Ireland
2020-01-17,0,Ireland
2020-01-18,0,Ireland
2020-01-19,0,Ireland
2020-01-20,0,Ireland
2020-01-21,1,Ireland
2020-01-22,2,Ireland
2020-01-23,5,Ireland
2020-01-24,5,Ireland
2020-01-25,6,Ireland
2020-01-26,5,Ireland
2020-01-27,7,Ireland
2020-01-28,8,Ireland
2020-01-29,7,Ireland
2020-01-30,15,Ireland
2020-01-31,14,Ireland
2020-02-01,9,Ireland
2020-02-02,10,Ireland
2020-02-03,7,Ireland
2020-02-04,5,Ireland
2020-02-05,5,Ireland
2020-02-06,7,Ireland
2020-02-07,7,Ireland
2020-02-08,7,Ireland
2020-02-09,5,Ireland
2020-02-10,7,Ireland
2020-02-11,6,Ireland
2020-02-12,5,Ireland
2020-02-13,7,Ireland
2020-02-14,4,Ireland
2020-02-15,4,Ireland
2020-02-16,3,Ireland
2020-02-17,3,Ireland
2020-02-18,4,Ireland
2020-02-19,3,Ireland
2020-02-20,3,Ireland
2020-02-21,3,Ireland
2020-02-22,5,Ireland
2020-02-23,9,Ireland
2020-02-24,13,Ireland
2020-02-25,30,Ireland
2020-02-26,30,Ireland
2020-02-27,43,Ireland
2020-02-28,36,Ireland
2020-02-29,30,Ireland
2020-03-01,40,Ireland
2020-03-02,35,Ireland
2020-03-03,32,Ireland
2020-03-04,38,Ireland
2020-03-05,50,Ireland
2020-03-06,54,Ireland
2020-03-07,41,Ireland
2020-03-08,46,Ireland
2020-03-09,59,Ireland
2020-03-10,71,Ireland
2020-03-11,80,Ireland
2020-03-12,100,Ireland
2020-03-13,90,Ireland
2020-03-14,96,Ireland
2020-03-15,96,Ireland
2020-03-16,86,Ireland
2020-03-17,74,Ireland
2020-03-18,72,Ireland
2020-03-19,60,Ireland
2020-03-20,58,Ireland
2020-03-21,65,Ireland
2020-03-22,66,Ireland
2020-03-23,59,Ireland
2020-03-24,63,Ireland
2020-03-25,59,Ireland
2020-03-26,61,Ireland
2020-03-27,63,Ireland
2020-03-28,58,Ireland
2020-03-29,55,Ireland
2020-03-30,51,Ireland
2020-03-31,46,Ireland
2020-04-01,41,Ireland
2020-04-02,40,Ireland
2020-04-03,50,Ireland
2020-04-04,55,Ireland
2020-04-05,57,Ireland
2020-04-06,40,Ireland
2020-04-07,49,Ireland
2020-04-08,47,Ireland
2020-04-09,48,Ireland
2020-04-10,50,Ireland
2020-04-11,37,Ireland
2020-04-12,33,Ireland
2020-04-13,45,Ireland
2020-04-14,43,Ireland
2020-04-15,41,Ireland
2020-04-16,45,Ireland
2020-04-17,38,Ireland
2020-04-18,42,Ireland
2019-12-31,0,South_Africa
2020-01-01,0,South_Africa
2020-01-02,0,South_Africa
2020-01-03,0,South_Africa
2020-01-04,0,South_Africa
2020-01-05,0,South_Africa
2020-01-06,0,South_Africa
2020-01-07,0,South_Africa
2020-01-08,0,South_Africa
2020-01-09,0,South_Africa
2020-01-10,0,South_Africa
2020-01-11,0,South_Africa
2020-01-12,0,South_Africa
2020-01-13,0,South_Africa
2020-01-14,0,South_Africa
2020-01-15,0,South_Africa
2020-01-16,0,South_Africa
2020-01-17,0,South_Africa
2020-01-18,0,South_Africa
2020-01-19,0,South_Africa
2020-01-20,0,South_Africa
2020-01-21,1,South_Africa
2020-01-22,1,South_Africa
2020-01-23,3,South_Africa
2020-01-24,3,South_Africa
2020-01-25,4,South_Africa
2020-01-26,5,South_Africa
2020-01-27,6,South_Africa
2020-01-28,8,South_Africa
2020-01-29,11,South_Africa
2020-01-30,11,South_Africa
2020-01-31,13,South_Africa
2020-02-01,10,South_Africa
2020-02-02,9,South_Africa
2020-02-03,8,South_Africa
2020-02-04,7,South_Africa
2020-02-05,7,South_Africa
2020-02-06,10,South_Africa
2020-02-07,9,South_Africa
2020-02-08,6,South_Africa
2020-02-09,6,South_Africa
2020-02-10,7,South_Africa
2020-02-11,5,South_Africa
2020-02-12,5,South_Africa
2020-02-13,5,South_Africa
2020-02-14,5,South_Africa
2020-02-15,5,South_Africa
2020-02-16,4,South_Africa
2020-02-17,5,South_Africa
2020-02-18,4,South_Africa
2020-02-19,4,South_Africa
2020-02-20,3,South_Africa
2020-02-21,4,South_Africa
2020-02-22,3,South_Africa
2020-02-23,5,South_Africa
2020-02-24,6,South_Africa
2020-02-25,6,South_Africa
2020-02-26,7,South_Africa
2020-02-27,8,South_Africa
2020-02-28,12,South_Africa
2020-02-29,10,South_Africa
2020-03-01,9,South_Africa
2020-03-02,11,South_Africa
2020-03-03,10,South_Africa
2020-03-04,10,South_Africa
2020-03-05,45,South_Africa
2020-03-06,32,South_Africa
2020-03-07,24,South_Africa
2020-03-08,23,South_Africa
2020-03-09,30,South_Africa
2020-03-10,25,South_Africa
2020-03-11,30,South_Africa
2020-03-12,40,South_Africa
2020-03-13,39,South_Africa
2020-03-14,42,South_Africa
2020-03-15,73,South_Africa
2020-03-16,86,South_Africa
2020-03-17,75,South_Africa
2020-03-18,72,South_Africa
2020-03-19,73,South_Africa
2020-03-20,64,South_Africa
2020-03-21,71,South_Africa
2020-03-22,79,South_Africa
2020-03-23,84,South_Africa
2020-03-24,70,South_Africa
2020-03-25,86,South_Africa
2020-03-26,100,South_Africa
2020-03-27,96,South_Africa
2020-03-28,93,South_Africa
2020-03-29,83,South_Africa
2020-03-30,70,South_Africa
2020-03-31,59,South_Africa
2020-04-01,61,South_Africa
2020-04-02,92,South_Africa
2020-04-03,55,South_Africa
2020-04-04,62,South_Africa
2020-04-05,62,South_Africa
2020-04-06,52,South_Africa
2020-04-07,48,South_Africa
2020-04-08,73,South_Africa
2020-04-09,52,South_Africa
2020-04-10,46,South_Africa
2020-04-11,51,South_Africa
2020-04-12,50,South_Africa
2020-04-13,48,South_Africa
2020-04-14,43,South_Africa
2020-04-15,64,South_Africa
2020-04-16,47,South_Africa
2020-04-17,60,South_Africa
2020-04-18,68,South_Africa
2019-12-31,0,United_Kingdom
2020-01-01,0,United_Kingdom
2020-01-02,0,United_Kingdom
2020-01-03,0,United_Kingdom
2020-01-04,0,United_Kingdom
2020-01-05,0,United_Kingdom
2020-01-06,0,United_Kingdom
2020-01-07,0,United_Kingdom
2020-01-08,0,United_Kingdom
2020-01-09,0,United_Kingdom
2020-01-10,0,United_Kingdom
2020-01-11,0,United_Kingdom
2020-01-12,0,United_Kingdom
2020-01-13,0,United_Kingdom
2020-01-14,0,United_Kingdom
2020-01-15,0,United_Kingdom
2020-01-16,0,United_Kingdom
2020-01-17,0,United_Kingdom
2020-01-18,0,United_Kingdom
2020-01-19,0,United_Kingdom
2020-01-20,0,United_Kingdom
2020-01-21,1,United_Kingdom
2020-01-22,2,United_Kingdom
2020-01-23,4,United_Kingdom
2020-01-24,5,United_Kingdom
2020-01-25,5,United_Kingdom
2020-01-26,6,United_Kingdom
2020-01-27,6,United_Kingdom
2020-01-28,7,United_Kingdom
2020-01-29,7,United_Kingdom
2020-01-30,11,United_Kingdom
2020-01-31,17,United_Kingdom
2020-02-01,8,United_Kingdom
2020-02-02,7,United_Kingdom
2020-02-03,6,United_Kingdom
2020-02-04,5,United_Kingdom
2020-02-05,5,United_Kingdom
2020-02-06,7,United_Kingdom
2020-02-07,6,United_Kingdom
2020-02-08,7,United_Kingdom
2020-02-09,6,United_Kingdom
2020-02-10,9,United_Kingdom
2020-02-11,8,United_Kingdom
2020-02-12,8,United_Kingdom
2020-02-13,8,United_Kingdom
2020-02-14,6,United_Kingdom
2020-02-15,4,United_Kingdom
2020-02-16,4,United_Kingdom
2020-02-17,4,United_Kingdom
2020-02-18,3,United_Kingdom
2020-02-19,3,United_Kingdom
2020-02-20,3,United_Kingdom
2020-02-21,3,United_Kingdom
2020-02-22,4,United_Kingdom
2020-02-23,6,United_Kingdom
2020-02-24,9,United_Kingdom
2020-02-25,16,United_Kingdom
2020-02-26,21,United_Kingdom
2020-02-27,19,United_Kingdom
2020-02-28,21,United_Kingdom
2020-02-29,15,United_Kingdom
2020-03-01,19,United_Kingdom
2020-03-02,26,United_Kingdom
2020-03-03,27,United_Kingdom
2020-03-04,32,United_Kingdom
2020-03-05,36,United_Kingdom
2020-03-06,31,United_Kingdom
2020-03-07,27,United_Kingdom
2020-03-08,35,United_Kingdom
2020-03-09,43,United_Kingdom
2020-03-10,51,United_Kingdom
2020-03-11,60,United_Kingdom
2020-03-12,91,United_Kingdom
2020-03-13,82,United_Kingdom
2020-03-14,85,United_Kingdom
2020-03-15,89,United_Kingdom
2020-03-16,100,United_Kingdom
2020-03-17,96,United_Kingdom
2020-03-18,89,United_Kingdom
2020-03-19,77,United_Kingdom
2020-03-20,71,United_Kingdom
2020-03-21,73,United_Kingdom
2020-03-22,82,United_Kingdom
2020-03-23,81,United_Kingdom
2020-03-24,70,United_Kingdom
2020-03-25,72,United_Kingdom
2020-03-26,66,United_Kingdom
2020-03-27,62,United_Kingdom
2020-03-28,62,United_Kingdom
2020-03-29,61,United_Kingdom
2020-03-30,51,United_Kingdom
2020-03-31,48,United_Kingdom
2020-04-01,46,United_Kingdom
2020-04-02,47,United_Kingdom
2020-04-03,43,United_Kingdom
2020-04-04,59,United_Kingdom
2020-04-05,60,United_Kingdom
2020-04-06,47,United_Kingdom
2020-04-07,44,United_Kingdom
2020-04-08,57,United_Kingdom
2020-04-09,41,United_Kingdom
2020-04-10,52,United_Kingdom
2020-04-11,38,United_Kingdom
2020-04-12,38,United_Kingdom
2020-04-13,51,United_Kingdom
2020-04-14,49,United_Kingdom
2020-04-15,45,United_Kingdom
2020-04-16,45,United_Kingdom
2020-04-17,41,United_Kingdom
2020-04-18,30,United_Kingdom
2019-12-31,0,United_States_of_America
2020-01-01,0,United_States_of_America
2020-01-02,0,United_States_of_America
2020-01-03,0,United_States_of_America
2020-01-04,0,United_States_of_America
2020-01-05,0,United_States_of_America
2020-01-06,0,United_States_of_America
2020-01-07,0,United_States_of_America
2020-01-08,0,United_States_of_America
2020-01-09,0,United_States_of_America
2020-01-10,0,United_States_of_America
2020-01-11,0,United_States_of_America
2020-01-12,0,United_States_of_America
2020-01-13,0,United_States_of_America
2020-01-14,0,United_States_of_America
2020-01-15,0,United_States_of_America
2020-01-16,0,United_States_of_America
2020-01-17,0,United_States_of_America
2020-01-18,0,United_States_of_America
2020-01-19,0,United_States_of_America
2020-01-20,0,United_States_of_America
2020-01-21,3,United_States_of_America
2020-01-22,3,United_States_of_America
2020-01-23,4,United_States_of_America
2020-01-24,8,United_States_of_America
2020-01-25,9,United_States_of_America
2020-01-26,10,United_States_of_America
2020-01-27,11,United_States_of_America
2020-01-28,12,United_States_of_America
2020-01-29,11,United_States_of_America
2020-01-30,12,United_States_of_America
2020-01-31,11,United_States_of_America
2020-02-01,9,United_States_of_America
2020-02-02,8,United_States_of_America
2020-02-03,7,United_States_of_America
2020-02-04,6,United_States_of_America
2020-02-05,5,United_States_of_America
2020-02-06,6,United_States_of_America
2020-02-07,6,United_States_of_America
2020-02-08,6,United_States_of_America
2020-02-09,5,United_States_of_America
2020-02-10,5,United_States_of_America
2020-02-11,5,United_States_of_America
2020-02-12,4,United_States_of_America
2020-02-13,5,United_States_of_America
2020-02-14,4,United_States_of_America
2020-02-15,4,United_States_of_America
2020-02-16,4,United_States_of_America
2020-02-17,4,United_States_of_America
2020-02-18,4,United_States_of_America
2020-02-19,3,United_States_of_America
2020-02-20,3,United_States_of_America
2020-02-21,3,United_States_of_America
2020-02-22,4,United_States_of_America
2020-02-23,5,United_States_of_America
2020-02-24,7,United_States_of_America
2020-02-25,11,United_States_of_America
2020-02-26,16,United_States_of_America
2020-02-27,19,United_States_of_America
2020-02-28,18,United_States_of_America
2020-02-29,20,United_States_of_America
2020-03-01,17,United_States_of_America
2020-03-02,26,United_States_of_America
2020-03-03,26,United_States_of_America
2020-03-04,24,United_States_of_America
2020-03-05,29,United_States_of_America
2020-03-06,30,United_States_of_America
2020-03-07,30,United_States_of_America
2020-03-08,30,United_States_of_America
2020-03-09,38,United_States_of_America
2020-03-10,44,United_States_of_America
2020-03-11,56,United_States_of_America
2020-03-12,100,United_States_of_America
2020-03-13,89,United_States_of_America
2020-03-14,79,United_States_of_America
2020-03-15,100,United_States_of_America
2020-03-16,98,United_States_of_America
2020-03-17,89,United_States_of_America
2020-03-18,80,United_States_of_America
2020-03-19,78,United_States_of_America
2020-03-20,76,United_States_of_America
2020-03-21,75,United_States_of_America
2020-03-22,77,United_States_of_America
2020-03-23,70,United_States_of_America
2020-03-24,64,United_States_of_America
2020-03-25,60,United_States_of_America
2020-03-26,59,United_States_of_America
2020-03-27,59,United_States_of_America
2020-03-28,57,United_States_of_America
2020-03-29,54,United_States_of_America
2020-03-30,50,United_States_of_America
2020-03-31,48,United_States_of_America
2020-04-01,48,United_States_of_America
2020-04-02,46,United_States_of_America
2020-04-03,57,United_States_of_America
2020-04-04,60,United_States_of_America
2020-04-05,58,United_States_of_America
2020-04-06,59,United_States_of_America
2020-04-07,55,United_States_of_America
2020-04-08,50,United_States_of_America
2020-04-09,48,United_States_of_America
2020-04-10,46,United_States_of_America
2020-04-11,37,United_States_of_America
2020-04-12,30,United_States_of_America
2020-04-13,42,United_States_of_America
2020-04-14,44,United_States_of_America
2020-04-15,42,United_States_of_America
2020-04-16,40,United_States_of_America
2020-04-17,39,United_States_of_America
2020-04-18,41,United_States_of_America
